dataset = celebA
experiments = /home/uzahid/workspace/QDCGAN/PyTorch/experiments
dry_run = False
log_freq = 50
export = False
resume = None
evaluate = False
fid = False
gpus = [0]
num_workers = 4
batch_size = 128
lr = 0.0002
scheduler = FIXED
epochs = 100
random_seed = None
examples = 1
size = 32
gen_ch = 64
weight_bitwidth = 32
activation_bitwidth = 32
io_bitwidth = 8
Epoch: [6/100[1101/1582]	Discriminator Loss -16.0014 (-16.9879)	Generator Loss 8.7767 (6.6277)	
Epoch: [6/100[1151/1582]	Discriminator Loss -16.1538 (-16.9557)	Generator Loss 9.1584 (6.6668)	
Epoch: [6/100[1201/1582]	Discriminator Loss -16.1608 (-16.9085)	Generator Loss 4.6419 (6.6470)	
Epoch: [6/100[1251/1582]	Discriminator Loss -16.9850 (-16.8878)	Generator Loss 11.0325 (6.6453)	
Epoch: [6/100[1301/1582]	Discriminator Loss -15.9192 (-16.8428)	Generator Loss 9.8493 (6.6810)	
Epoch: [6/100[1351/1582]	Discriminator Loss -17.1221 (-16.8238)	Generator Loss 12.5136 (6.6999)	
Epoch: [6/100[1401/1582]	Discriminator Loss -17.5884 (-16.8019)	Generator Loss 17.0486 (6.6849)	
Epoch: [6/100[1451/1582]	Discriminator Loss -15.9809 (-16.7808)	Generator Loss 2.9283 (6.6932)	
Epoch: [6/100[1501/1582]	Discriminator Loss -14.4648 (-16.7575)	Generator Loss 2.7121 (6.6911)	
Epoch: [6/100[1551/1582]	Discriminator Loss -16.2310 (-16.7489)	Generator Loss 6.7406 (6.7018)	
Epoch: [6/100[1582/1582]	Discriminator Loss -15.9112 (-16.7253)	Generator Loss 0.0114 (6.6729)	
FPS: 17842.02824570359
Image generated at /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/random_results/epoch_I8W32A32.png
Saving checkpoint model to /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/checkpoints/checkpoint_I8W32A32.tar
Epoch: [7/100[1/1582]	Discriminator Loss -16.5858 (-16.5858)	Generator Loss 4.0605 (4.0605)	
Epoch: [7/100[51/1582]	Discriminator Loss -16.0019 (-15.6535)	Generator Loss 8.6108 (7.0169)	
Epoch: [7/100[101/1582]	Discriminator Loss -15.0614 (-15.7700)	Generator Loss 4.8982 (7.0423)	
Epoch: [7/100[151/1582]	Discriminator Loss -15.0674 (-15.7802)	Generator Loss 6.8462 (7.0289)	
Epoch: [7/100[201/1582]	Discriminator Loss -18.4084 (-15.8931)	Generator Loss 6.0568 (7.4240)	
Epoch: [7/100[251/1582]	Discriminator Loss -14.3916 (-15.8725)	Generator Loss 6.9922 (7.0263)	
Epoch: [7/100[301/1582]	Discriminator Loss -15.5523 (-15.7728)	Generator Loss 8.4135 (6.9268)	
